,Name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
88,87,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
89,88,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
90,89,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
91,90,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
92,91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
93,92,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
94,93,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
95,94,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
96,95,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
97,96,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
98,97,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
99,98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
100,99,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
