,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
142,10,8,30,0,7,8,37,6,2,1
143,14,0,5,0,27,3,23,53,26,2
144,26,1,18,0,4,2,22,27,4,1
145,9,0,0,0,8,10,11,3,2,1
146,5,0,5,0,13,2,21,24,12,1
147,1,0,7,0,4,39,31,23,2,1
148,5,0,4,0,25,0,16,42,24,1
149,16,11,5,0,28,2,40,54,27,2
150,12,1,0,0,2,2,17,17,4,1
151,3,0,18,0,4,13,8,27,4,1
152,5,0,8,0,29,34,14,55,16,1
153,1,0,27,0,1,26,11,2,1,0
154,5,0,11,0,9,38,1,21,2,1
155,0,1,3,5,30,25,28,33,28,0
156,6,0,0,8,7,2,7,29,4,1
157,0,0,11,13,29,2,12,32,29,0
158,1,0,22,2,4,31,41,38,2,1
159,1,0,0,0,24,0,0,56,22,0
160,2,0,18,15,2,2,6,31,4,1
161,4,0,13,5,5,2,7,3,2,1
162,5,0,3,0,14,25,4,46,11,1
163,5,0,3,3,31,2,18,42,30,1
164,14,0,5,0,11,47,23,26,14,2
165,1,11,3,0,17,2,12,45,4,1
166,7,0,13,15,8,26,17,17,4,1
167,5,0,22,0,6,26,32,15,4,1
168,5,0,3,0,10,26,18,52,23,1
169,5,0,15,14,9,2,42,6,1,1
170,8,0,11,0,8,48,8,8,4,1
171,6,0,3,7,7,26,8,27,4,1
172,3,3,0,0,4,49,34,9,4,1
173,6,12,7,0,7,10,6,3,4,1
174,5,0,21,0,9,37,4,13,2,1
175,6,0,13,3,7,26,25,30,4,1
176,5,0,21,3,13,2,4,57,12,1
177,1,1,1,0,1,2,1,1,1,0
178,5,0,7,0,9,36,30,39,1,1
179,0,0,11,2,20,2,12,36,17,0
180,25,0,17,15,7,1,14,47,4,1
181,1,3,15,0,3,2,1,33,5,0
182,9,0,21,0,8,35,7,7,2,1
183,8,1,0,13,3,8,10,2,2,1
184,0,0,1,3,3,24,14,33,5,0
185,24,12,16,0,5,2,43,10,4,1
186,1,0,14,0,17,50,20,4,4,1
187,9,4,5,0,7,17,10,3,4,1
188,5,0,13,0,6,12,10,22,2,1
189,2,0,10,6,2,2,7,3,2,1
190,19,1,21,5,5,10,1,47,2,1
191,5,0,31,0,30,16,43,40,5,1
192,1,5,15,0,2,2,14,46,11,0
193,21,0,27,0,12,17,38,50,23,1
194,8,11,3,0,3,19,11,31,2,1
195,15,1,10,0,2,3,7,3,2,1
196,4,3,3,0,5,51,10,47,2,1
197,5,0,13,12,12,4,1,33,9,1
198,5,0,25,0,9,26,6,47,1,1
199,1,0,11,0,25,37,12,48,25,0
200,5,0,3,0,23,45,18,19,10,1
201,3,0,4,0,4,13,20,4,4,1
202,3,4,0,0,4,14,34,9,4,1
203,6,0,4,0,7,19,11,29,4,1
204,27,8,4,10,6,2,30,13,4,1
205,5,5,16,0,9,2,44,15,2,1
206,5,0,9,0,12,32,45,41,9,1
207,28,0,0,0,28,43,40,58,31,2
208,12,0,12,0,7,52,18,1,2,1
209,11,1,13,8,3,2,8,29,4,1
210,3,0,17,0,4,34,7,8,4,1
211,29,0,10,0,32,29,24,59,32,2
212,12,0,10,2,2,2,6,3,4,1
213,3,0,17,0,4,9,7,27,4,1
214,5,0,31,2,12,2,43,60,9,1
215,1,0,10,0,4,39,39,17,2,1
216,5,0,7,0,25,25,21,61,24,1
217,9,11,13,0,8,2,17,17,4,1
218,9,0,7,14,8,31,10,22,2,1
219,30,0,29,0,18,2,27,29,21,2
220,28,1,0,0,28,8,40,58,31,2
221,6,0,7,0,8,53,6,22,2,1
222,10,6,12,0,7,2,14,21,2,1
223,26,4,10,5,4,1,17,17,4,1
224,4,8,4,0,3,29,14,47,4,1
225,5,0,7,0,21,9,30,41,18,1
226,1,0,0,0,24,40,0,56,22,0
227,31,8,17,0,29,2,23,0,33,2
228,8,4,7,0,3,18,2,47,2,1
229,5,0,13,5,9,51,10,11,1,1
230,4,5,10,0,3,2,16,5,4,1
231,0,0,11,0,31,54,12,62,34,0
232,5,0,3,0,21,32,18,50,35,1
233,0,0,9,0,2,37,1,13,11,0
234,4,0,7,14,5,52,18,1,2,1
235,5,0,16,10,13,2,44,63,3,1
236,0,0,1,8,1,2,14,1,1,0
237,21,12,11,0,5,50,1,22,4,1
238,0,0,13,0,27,5,29,64,36,0
239,11,12,14,0,3,2,4,1,4,1
240,0,0,13,10,24,2,29,49,22,0
241,0,0,1,11,4,2,14,11,2,1
242,5,0,25,0,13,38,10,46,12,1
243,11,0,3,1,3,2,6,31,2,1
244,24,13,13,10,5,37,6,3,4,1
245,25,4,19,0,7,2,19,48,4,1
246,4,6,4,0,3,34,14,47,4,1
247,15,0,21,0,1,23,20,4,4,1
248,32,9,0,2,33,29,23,65,37,2
249,21,5,10,0,5,2,35,43,4,1
250,8,3,14,0,3,37,18,1,2,1
251,5,0,15,0,6,16,46,20,2,1
252,1,0,1,5,4,0,1,11,2,1
253,4,0,19,2,5,4,43,37,2,1
254,9,0,0,0,8,44,7,3,2,1
255,15,0,32,0,1,54,1,22,4,1
256,2,12,16,0,2,2,26,16,4,1
257,7,10,14,0,8,14,14,47,4,1
258,1,11,17,0,4,33,17,27,2,1
259,5,0,8,15,19,50,14,41,21,1
260,5,0,11,0,10,17,1,12,23,1
261,3,0,14,0,1,55,17,27,2,1
262,1,0,3,0,17,10,28,45,4,1
263,1,0,11,0,12,50,12,16,16,0
264,8,0,9,0,3,43,41,57,2,1
265,0,1,21,0,34,50,0,51,38,0
266,5,0,31,0,6,29,43,66,2,1
267,1,14,25,17,34,37,47,67,39,0
268,0,0,9,0,3,56,1,57,5,0
269,4,12,5,0,5,38,4,5,2,1
270,2,6,7,0,2,2,22,27,4,1
271,6,12,18,0,7,34,14,47,4,1
272,31,0,10,10,26,2,24,68,40,2
273,2,9,17,0,2,2,2,22,4,1
274,4,12,0,0,3,0,2,22,4,1
275,15,10,10,0,2,18,7,3,2,1
276,0,0,8,0,21,29,28,37,20,0
277,4,4,11,0,3,34,6,7,4,1
278,0,0,11,0,13,52,29,18,18,0
279,12,0,11,0,2,40,34,4,4,1
280,6,12,11,0,8,7,39,27,2,1
281,5,0,3,0,31,28,4,42,30,1
282,0,0,11,0,13,57,29,18,18,0
283,8,0,10,0,3,43,18,1,2,1
284,5,0,0,0,30,30,13,16,5,1
285,5,0,3,10,13,51,18,38,3,1
286,7,0,0,0,3,33,6,22,2,1
287,33,15,11,17,28,1,23,69,13,2
288,6,5,3,0,7,2,22,17,4,1
289,34,0,24,6,35,7,27,27,28,2
290,5,0,9,0,10,50,45,32,8,1
291,5,0,11,0,12,19,1,16,9,1
292,4,0,5,0,3,29,4,21,4,1
293,7,0,18,4,8,26,4,21,4,1
294,4,0,8,13,3,58,6,3,4,1
295,11,12,24,0,3,2,42,52,2,1
296,0,0,10,0,17,48,39,30,4,1
297,5,0,13,5,23,8,2,43,10,1
298,35,0,29,3,35,2,27,3,16,2
299,25,8,21,0,7,2,22,8,4,1
300,8,0,4,0,3,28,2,47,2,1
301,11,0,11,3,3,2,7,29,4,1
302,25,9,5,0,7,2,6,3,4,1
303,5,0,8,0,36,54,14,61,41,1
304,0,9,7,0,4,2,31,4,2,1
305,22,0,10,4,1,2,22,8,4,1
306,18,0,17,0,29,37,24,0,40,2
307,0,0,4,0,24,30,3,53,22,0
308,7,3,11,0,3,51,22,29,2,1
309,9,11,6,0,8,2,48,70,2,1
310,10,1,10,0,7,39,10,2,2,1
311,0,0,2,0,17,45,8,17,4,1
312,12,12,10,0,2,26,6,3,4,1
313,9,0,7,7,8,8,10,22,2,1
314,5,0,9,13,36,2,45,60,41,1
315,6,3,18,0,7,27,14,47,4,1
316,3,0,3,0,1,59,3,44,2,1
317,5,0,3,0,29,18,18,67,16,1
318,0,0,4,1,20,2,3,71,17,0
319,4,0,18,12,5,7,30,46,2,1
320,0,0,11,11,14,2,12,13,30,0
321,5,0,13,7,13,34,2,19,3,1
322,5,0,22,0,9,46,32,41,1,1
323,13,0,7,0,28,48,23,72,42,2
324,7,0,7,0,3,39,2,47,2,1
325,19,8,10,0,5,2,30,46,2,1
326,0,0,4,0,4,60,3,4,2,1
327,0,0,21,0,4,2,0,9,2,1
328,9,0,3,0,8,43,8,29,2,1
329,12,3,18,0,7,4,10,47,2,1
330,36,6,3,18,28,2,23,65,37,2
331,6,10,21,0,7,2,8,8,4,1
332,22,5,10,0,1,3,22,8,4,1
333,4,5,6,3,3,2,46,12,4,1
334,29,0,10,0,33,47,23,54,27,2
335,11,0,4,1,3,2,1,47,4,1
336,12,1,21,0,2,30,39,73,4,1
337,5,0,3,12,6,2,14,21,2,1
338,7,0,3,0,3,55,7,3,2,1
339,9,0,10,10,8,54,1,11,2,1
340,37,8,21,0,17,2,28,74,4,1
341,5,0,16,2,6,2,44,37,2,1
342,8,0,4,4,3,1,2,47,2,1
343,25,12,10,0,7,2,1,2,4,1
344,7,0,0,0,3,44,6,22,2,1
345,26,5,17,0,4,2,8,8,4,1
346,37,6,27,0,17,2,7,29,4,1
347,5,0,13,0,9,50,1,21,2,1
348,4,0,3,2,5,1,2,47,2,1
349,12,12,5,0,7,35,7,3,2,1
350,15,10,14,0,2,18,8,7,2,1
351,21,0,33,0,6,24,6,22,2,1
352,1,0,0,0,0,46,0,68,0,0
353,5,10,22,0,6,2,32,15,4,1
354,0,0,11,0,20,30,29,36,17,0
355,1,3,15,14,1,2,1,5,1,0
356,1,0,8,0,37,2,12,75,43,0
357,16,0,5,14,15,45,40,69,13,2
358,22,1,0,0,1,37,34,23,4,1
359,0,0,1,0,1,56,14,1,1,0
360,5,0,0,10,14,2,16,19,11,1
361,10,4,7,0,7,2,8,7,2,1
362,1,0,13,0,27,10,36,64,44,0
363,0,0,8,0,37,26,28,75,43,0
364,6,12,10,2,7,2,1,22,4,1
365,9,12,12,0,8,2,16,13,4,1
366,5,0,22,8,6,50,32,15,4,1
367,9,0,11,7,8,2,17,27,2,1
368,0,0,18,10,17,49,17,30,4,1
369,9,1,19,0,8,2,9,42,2,1
370,5,0,3,12,14,2,18,46,11,1
371,15,0,5,0,1,2,22,17,4,1
372,5,0,13,2,6,2,2,2,4,1
373,5,0,15,0,13,18,42,50,3,1
374,13,0,7,10,33,30,23,76,31,2
375,25,8,12,15,7,2,4,21,4,1
376,12,0,11,0,7,7,34,30,2,1
377,5,0,3,10,13,1,18,38,12,1
378,1,0,10,0,17,26,39,30,4,1
379,0,0,20,10,36,8,6,40,45,0
380,11,0,5,7,3,2,4,21,4,1
381,5,0,15,15,9,50,42,6,1,1
382,5,0,3,0,25,10,18,77,24,1
383,14,6,14,0,38,2,23,14,46,2
384,9,0,21,15,8,2,7,7,4,1
385,6,12,7,0,8,44,6,22,2,1
386,10,0,17,3,7,2,1,11,2,1
387,38,6,22,8,18,9,27,7,21,2
388,5,8,11,0,6,2,14,47,4,1
389,0,0,28,7,3,37,4,16,5,0
390,0,12,10,8,4,2,39,17,2,1
391,9,0,7,0,7,14,6,7,4,1
392,1,4,18,8,17,2,39,30,4,1
393,1,0,1,0,1,53,1,1,1,0
394,5,0,33,0,23,29,10,13,10,1
395,12,8,17,0,7,61,2,47,2,1
396,7,0,7,7,8,2,10,22,4,1
397,5,0,8,0,30,40,18,33,5,1
398,8,0,21,2,3,6,6,22,2,1
399,4,0,8,0,5,37,6,22,2,1
400,25,4,33,0,7,2,34,4,4,1
401,0,8,21,6,12,39,0,12,21,0
402,2,1,17,0,2,2,10,22,2,1
403,5,0,6,0,9,55,9,10,1,1
404,0,0,3,0,12,16,28,24,21,0
405,1,0,11,5,30,2,12,57,28,0
406,9,12,0,0,8,8,7,3,2,1
407,22,1,0,0,1,3,34,23,4,1
408,21,0,0,0,5,16,4,11,4,1
409,0,0,11,0,23,1,29,46,35,0
410,8,0,13,14,3,31,22,29,2,1
411,21,0,4,0,5,9,13,21,4,1
412,29,0,14,0,0,50,24,78,47,2
413,8,12,11,0,3,2,7,7,2,1
414,1,0,0,3,4,24,49,9,2,1
415,6,10,8,0,8,44,17,8,2,1
416,5,0,3,0,23,29,18,19,10,1
417,7,0,11,13,8,2,22,8,4,1
418,25,4,13,0,7,2,20,30,4,1
419,8,0,10,5,3,3,18,1,2,1
420,7,0,17,0,8,19,16,1,4,1
421,0,0,9,0,7,8,1,39,10,0
422,5,12,7,0,6,2,16,13,2,1
423,5,0,11,0,37,59,1,15,28,1
424,7,0,7,0,8,19,2,22,4,1
425,4,12,13,0,3,17,7,29,4,1
426,7,12,10,0,8,58,4,11,4,1
427,5,0,21,11,36,2,4,37,41,1
428,10,3,11,0,7,2,20,30,2,1
429,12,0,11,0,7,25,34,30,2,1
430,9,0,10,12,7,23,14,2,4,1
431,9,8,7,0,8,56,6,22,2,1
432,24,12,11,7,5,2,2,22,4,1
433,7,12,14,0,8,50,14,47,4,1
434,15,10,14,0,2,35,8,7,2,1
435,1,4,1,5,17,2,1,22,4,1
436,4,0,0,8,3,41,1,22,4,1
437,21,9,1,0,5,10,45,16,4,1
438,7,1,5,0,8,26,1,2,4,1
439,5,0,8,0,19,7,14,41,21,1
440,23,3,5,0,17,2,0,44,2,1
441,2,0,34,10,2,2,50,35,4,1
442,7,12,4,0,8,2,10,31,4,1
443,11,3,7,0,3,2,14,47,4,1
444,39,3,2,0,21,54,24,79,48,2
445,5,0,11,0,21,0,1,66,18,1
446,12,0,11,13,2,54,34,4,4,1
447,3,1,11,13,4,36,0,74,4,1
448,21,8,13,10,5,2,6,3,4,1
449,15,0,17,0,1,15,6,3,4,1
450,15,0,7,0,1,29,17,17,4,1
451,5,0,29,0,14,19,51,80,11,1
452,6,0,13,8,7,34,25,23,4,1
453,6,0,17,0,8,55,18,1,2,1
454,19,3,0,2,5,2,14,21,2,1
455,5,0,11,9,12,4,14,16,9,1
456,15,0,17,0,2,18,6,22,2,1
457,12,6,8,0,2,54,20,23,4,1
458,12,1,0,12,2,4,17,17,4,1
459,22,4,19,0,1,37,52,16,4,1
460,37,3,10,0,17,2,20,30,4,1
461,12,0,11,0,7,28,34,30,2,1
462,4,0,0,0,3,40,1,22,4,1
463,9,4,0,12,8,62,7,3,2,1
464,5,0,8,0,10,12,18,20,23,1
465,5,0,8,0,12,43,14,16,9,1
466,1,1,21,4,4,52,49,9,2,1
467,0,0,35,0,2,35,18,39,11,0
468,5,0,8,0,36,9,18,61,41,1
469,5,0,3,0,23,57,18,19,10,1
470,15,12,0,0,1,0,20,23,4,1
471,5,0,12,0,9,1,15,16,1,1
472,22,1,4,0,1,2,25,30,4,1
473,3,10,10,0,1,25,22,8,2,1
474,12,3,10,0,7,53,10,2,2,1
475,12,0,3,0,7,18,25,17,2,1
476,1,8,1,10,1,2,1,1,1,0
477,5,0,11,0,19,50,1,81,21,1
478,0,0,3,0,12,2,49,12,21,0
479,5,0,11,0,13,46,1,18,12,1
480,8,0,3,11,3,2,7,3,2,1
481,9,0,7,10,8,25,6,22,2,1
482,1,0,7,0,4,25,31,4,2,1
483,12,0,0,0,2,54,22,17,4,1
484,0,0,11,0,10,50,12,12,6,0
485,19,0,15,12,5,2,26,24,2,1
486,0,0,7,0,39,31,31,82,40,0
487,4,4,0,0,3,36,1,22,4,1
488,5,0,4,0,36,42,16,15,41,1
489,8,0,12,2,3,2,30,46,2,1
490,22,3,4,0,1,2,25,30,4,1
491,4,0,10,0,5,62,16,43,2,1
492,5,0,3,0,12,42,18,24,9,1
493,0,1,32,0,4,4,7,3,2,1
494,9,0,10,8,7,15,14,2,4,1
495,9,0,17,0,7,34,18,47,4,1
496,5,0,16,0,13,26,43,63,3,1
497,1,6,10,0,4,3,25,17,2,1
498,5,0,22,13,6,2,32,50,4,1
499,0,0,11,0,26,5,29,67,7,0
500,3,3,5,0,1,39,39,17,2,1
501,3,0,22,0,1,18,48,70,2,1
502,19,11,19,0,5,2,51,50,2,1
503,12,0,10,0,2,41,10,3,4,1
504,16,0,5,11,28,2,40,54,27,2
505,0,0,4,0,15,8,3,83,32,0
506,5,0,11,3,23,2,1,46,10,1
507,23,1,10,0,17,4,31,23,2,1
508,35,1,16,12,35,31,27,7,16,2
509,7,10,0,0,8,46,6,3,4,1
510,15,0,11,0,2,20,3,4,2,1
511,1,0,9,0,7,34,1,39,12,0
512,1,0,8,10,8,9,12,8,3,0
513,7,0,7,9,8,2,2,22,4,1
514,19,1,17,0,5,2,35,39,2,1
515,0,0,3,0,34,26,49,51,38,0
516,25,5,12,9,7,2,4,1,4,1
517,40,5,26,3,40,35,21,39,2,1
518,0,0,11,0,31,56,12,62,34,0
519,1,11,0,0,4,61,0,9,2,1
520,0,0,9,0,4,5,1,47,2,1
521,5,0,21,10,5,14,4,47,4,1
522,4,0,3,0,3,29,10,3,4,1
523,9,0,10,8,8,6,14,11,2,1
524,7,0,3,0,3,51,7,3,2,1
525,5,0,7,0,9,29,30,19,1,1
526,9,0,13,10,8,37,39,17,2,1
527,8,0,21,8,3,24,6,22,2,1
528,3,12,0,0,1,1,34,30,2,1
529,7,16,4,15,8,1,10,31,4,1
530,8,1,10,0,3,25,4,5,2,1
531,2,6,0,0,2,2,17,17,4,1
532,5,0,25,0,14,23,6,21,11,1
533,5,0,13,12,6,2,2,22,4,1
534,0,0,20,7,37,2,10,0,43,0
535,8,0,21,3,8,17,6,7,4,1
536,22,8,10,0,1,37,8,29,4,1
537,9,3,12,0,8,2,16,13,2,1
538,9,1,0,0,8,56,11,3,2,1
539,1,0,15,14,4,2,14,11,2,1
540,5,0,20,0,31,10,52,79,30,1
541,7,0,14,0,8,2,14,47,4,1
542,8,0,5,3,3,3,14,21,2,1
543,21,0,6,0,5,2,37,48,4,1
544,5,0,13,0,12,29,1,33,9,1
545,9,1,3,3,7,46,22,17,4,1
546,5,0,3,0,30,18,4,70,5,1
547,1,0,27,0,17,50,11,29,4,1
548,22,0,10,7,1,2,22,8,4,1
549,5,0,11,5,32,36,1,84,45,1
550,25,9,18,6,7,2,1,47,4,1
551,5,0,36,8,14,8,26,77,11,1
552,5,0,13,0,30,41,2,35,5,1
553,5,12,33,0,12,10,10,57,9,1
554,3,10,10,10,1,18,22,8,2,1
555,5,0,16,0,12,59,44,51,9,1
556,1,9,14,0,17,27,20,4,4,1
557,10,8,2,0,7,2,14,11,2,1
558,6,0,12,9,7,2,13,1,4,1
559,1,10,11,8,36,16,12,10,45,0
560,3,0,23,0,4,19,53,39,4,1
561,12,6,8,1,2,26,20,23,4,1
562,9,3,7,0,8,2,6,22,2,1
563,9,0,12,0,7,0,13,21,4,1
564,41,0,16,0,18,26,27,27,28,2
565,26,0,0,5,4,2,31,9,4,1
566,16,0,5,0,15,2,23,25,13,2
567,3,0,11,0,1,53,0,9,2,1
568,5,17,16,10,9,8,44,15,1,1
569,9,0,21,0,8,59,7,7,2,1
570,5,12,19,9,13,2,32,85,3,1
571,9,0,5,0,8,3,10,2,2,1
572,5,0,13,0,23,8,1,46,10,1
573,4,10,24,0,3,9,19,20,4,1
574,1,9,36,0,2,2,10,5,11,0
575,5,0,13,0,13,50,2,19,3,1
576,5,0,16,0,9,63,44,75,1,1
577,5,0,11,0,14,2,1,13,11,1
578,25,9,24,0,7,2,52,70,4,1
579,5,0,7,0,6,46,30,13,4,1
580,42,12,19,0,22,38,21,19,2,1
581,1,0,11,0,0,24,29,51,0,0
582,14,0,10,0,41,14,23,86,49,2
583,2,11,26,2,2,2,19,48,4,1
584,22,0,17,0,1,3,7,7,4,1
585,1,3,4,0,17,54,3,87,4,1
586,0,0,27,0,0,20,11,56,0,0
587,31,3,18,3,34,2,24,64,50,2
588,4,3,0,0,5,12,2,11,2,1
589,4,0,3,0,5,39,2,47,2,1
590,0,0,15,0,1,10,14,5,1,0
591,25,0,7,0,7,37,7,7,4,1
592,5,6,3,2,29,2,14,67,6,1
593,0,0,11,0,31,30,29,6,34,0
594,9,4,7,0,7,15,6,7,4,1
595,5,1,8,5,31,23,18,62,30,1
596,1,12,2,0,17,2,22,17,4,1
597,43,0,24,0,18,34,27,23,35,2
598,44,12,4,2,28,2,23,88,42,2
599,5,0,13,0,6,16,2,22,4,1
600,7,0,22,0,8,34,9,6,4,1
601,5,0,27,0,10,26,48,81,8,1
602,5,0,11,9,9,4,14,1,2,1
603,5,12,0,19,9,2,13,46,1,1
604,20,0,5,0,22,16,0,89,4,1
605,12,11,7,0,2,2,8,8,4,1
606,5,0,25,15,30,31,6,18,5,1
607,0,6,7,0,4,2,34,4,4,1
608,12,6,16,0,2,46,52,16,4,1
609,1,0,5,0,4,56,34,30,2,1
610,30,1,22,0,18,19,27,29,21,2
611,0,12,4,2,4,2,31,4,4,1
612,7,3,13,0,8,46,17,17,4,1
613,5,0,11,0,13,20,14,35,12,1
614,38,12,19,11,18,27,54,7,21,2
615,21,0,15,11,5,27,46,24,4,1
616,5,0,8,0,37,50,14,75,28,1
617,8,6,33,10,3,2,17,8,2,1
618,1,12,0,0,32,53,0,90,51,0
619,1,0,15,0,4,22,1,11,2,1
620,5,0,3,0,25,1,4,6,24,1
621,25,10,20,0,7,2,21,43,4,1
622,5,1,11,0,29,2,1,32,16,1
623,25,0,5,15,7,2,6,31,4,1
624,5,9,8,0,0,2,14,34,19,1
625,9,3,7,0,8,2,2,22,4,1
626,10,0,8,0,2,40,25,23,4,1
627,1,0,13,0,38,41,36,68,52,0
628,5,0,7,0,25,3,21,61,24,1
629,0,0,11,10,32,2,29,84,51,0
630,5,1,0,12,6,52,4,1,2,1
631,5,0,7,0,34,37,30,0,34,1
632,25,12,3,11,7,2,17,17,4,1
