,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
21,3,1,7,0,1,17,15,8,9,9,0,0,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,1,4,0,0
22,4,1,5,0,1,18,16,2,14,17,1,4,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
23,4,1,4,0,1,19,17,16,11,2,2,3,1,0,2,5,0,3,1,2,0,0,1,0,0,2,0,0,3,0,1
24,5,1,5,0,1,3,18,17,1,18,0,5,0,2,2,3,1,4,0,3,0,2,0,0,0,2,0,1,3,0,0
25,4,1,6,0,1,10,19,16,8,0,0,2,0,2,1,1,0,4,0,2,0,4,0,0,3,1,0,2,4,0,0
26,5,0,3,1,1,20,4,18,6,3,3,3,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0
27,0,1,5,0,1,14,12,3,15,19,6,2,1,2,2,0,0,5,0,3,0,0,0,0,2,2,0,3,0,0,0
28,0,0,2,0,1,21,11,19,11,4,3,5,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0
29,4,1,1,0,1,5,20,20,8,9,0,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
30,4,1,4,0,1,0,3,16,16,20,2,4,1,2,2,3,0,3,1,3,0,0,1,0,1,2,2,1,0,0,0
31,0,0,4,3,1,17,3,9,9,0,2,6,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0
32,0,1,5,0,1,10,12,3,17,0,3,6,1,2,2,1,0,2,1,0,0,0,0,0,0,0,0,1,3,0,0
33,2,1,5,0,1,18,5,21,18,1,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
34,0,1,5,2,2,22,18,20,19,11,4,10,2,0,2,3,1,3,0,2,1,2,1,1,1,2,2,1,6,0,1
35,3,1,7,0,1,7,3,22,4,11,4,3,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
36,0,1,5,0,1,7,0,13,15,15,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
37,5,1,7,2,1,0,21,23,20,20,4,5,1,2,1,3,0,2,2,3,0,0,0,0,0,2,0,1,3,0,0
38,4,1,5,0,1,13,22,21,15,13,0,6,1,2,0,1,2,4,0,0,0,0,0,0,0,0,0,1,4,0,0
39,3,0,0,0,1,7,16,8,6,21,2,1,1,1,0,1,0,4,1,0,0,0,0,0,1,0,4,0,4,0,0
40,0,1,2,0,1,21,19,3,21,13,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
41,0,0,5,0,1,23,8,23,22,22,0,1,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
42,0,1,2,0,1,3,16,16,15,20,0,5,1,1,3,5,0,3,2,4,0,1,0,1,2,0,0,0,4,0,0
43,0,1,0,0,1,11,0,12,23,2,0,1,1,0,1,1,0,2,1,1,0,4,0,0,0,1,0,0,3,0,0
44,1,1,5,0,2,8,10,10,18,6,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,0,5,0,1,2,15,17,8,5,2,9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
46,4,0,6,1,1,0,18,8,11,18,1,6,6,1,0,1,0,4,2,0,0,0,0,0,0,2,0,0,0,0,1
47,4,1,2,0,1,12,2,21,8,7,7,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0
48,4,1,4,0,1,24,3,12,23,20,3,6,1,2,2,1,0,6,1,3,0,0,0,0,0,0,0,1,3,0,0
49,1,0,2,0,3,23,0,24,0,23,4,7,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0
50,0,1,2,0,1,22,13,13,24,0,1,6,1,2,1,3,0,2,1,2,0,3,0,0,2,2,0,3,3,0,0
51,4,1,0,1,1,25,23,0,0,24,6,10,3,2,2,3,0,3,1,3,0,0,0,0,0,2,0,1,0,0,0
52,5,0,5,0,1,3,8,7,11,11,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
53,4,1,2,0,1,26,13,23,11,23,0,1,0,2,2,1,0,4,0,3,0,2,0,0,0,2,0,1,4,0,0
54,5,1,4,0,1,21,24,0,10,16,5,7,1,1,0,1,0,3,1,4,0,3,0,0,3,2,0,1,4,0,0
55,5,0,0,0,1,21,25,8,12,22,2,9,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
56,0,0,6,0,1,21,8,11,15,23,2,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
57,1,0,5,0,1,27,18,24,11,13,1,5,4,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
58,4,1,3,0,1,28,18,3,12,22,6,7,0,2,2,1,0,6,0,5,2,3,1,2,3,2,0,2,3,0,1
59,4,1,5,0,1,2,12,16,2,1,2,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
60,1,0,1,0,1,15,21,21,4,25,2,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
61,4,1,2,0,4,29,26,17,20,4,2,0,0,2,0,1,2,4,0,0,0,0,0,0,0,0,0,1,2,0,1
62,1,1,5,0,1,27,27,25,25,21,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,4,1,5,0,1,22,5,19,9,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
64,4,1,1,0,1,13,15,23,12,6,2,5,1,2,0,3,0,5,0,6,0,0,0,0,0,2,0,1,4,0,0
65,0,1,6,0,1,4,15,2,14,3,4,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
66,4,1,4,0,1,8,25,8,18,21,1,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
67,1,1,2,0,1,16,5,23,0,1,8,1,0,2,2,1,0,3,0,3,0,0,0,0,0,2,0,1,6,0,0
68,0,1,0,3,1,11,8,21,23,25,0,4,0,2,2,1,1,3,1,1,0,4,0,3,1,2,0,1,4,0,0
69,4,0,4,0,1,20,25,11,11,0,2,6,1,1,0,6,5,0,1,0,0,0,0,0,0,0,0,0,4,0,0
70,1,1,6,0,1,16,5,9,7,25,4,8,1,0,2,1,2,3,1,1,0,3,0,1,2,1,0,0,0,0,1
71,4,0,3,1,1,2,24,12,14,8,7,6,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0
72,4,1,3,0,1,13,23,3,17,6,3,2,1,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
73,4,1,0,0,1,1,0,12,11,7,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
74,3,0,4,0,1,17,14,26,16,23,4,9,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
75,1,1,5,0,1,3,9,5,6,22,4,1,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0
76,4,0,8,1,1,16,25,5,17,3,7,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
77,0,1,5,0,1,24,4,0,24,22,0,9,6,2,0,1,0,3,0,3,0,2,0,0,0,2,0,0,3,0,0
78,0,1,6,0,1,10,3,27,2,19,7,0,1,1,2,1,0,4,0,3,0,2,0,0,0,0,0,0,5,0,1
79,0,1,0,0,1,16,3,24,14,20,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
80,3,0,1,1,1,21,21,10,23,18,0,1,1,1,0,2,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0
81,5,0,5,0,1,10,12,3,0,1,8,2,0,2,2,3,0,3,1,3,0,0,1,0,0,2,2,1,4,0,0
82,5,1,2,1,1,12,10,6,3,18,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
83,5,0,8,0,3,22,16,8,26,26,3,1,6,1,0,5,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0
84,4,1,4,0,1,16,9,12,4,1,2,4,0,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0
85,1,0,3,0,1,2,8,5,20,21,4,7,6,1,2,1,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0
86,0,1,6,0,1,4,13,8,20,1,0,2,0,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0
87,5,1,4,0,1,11,9,4,4,23,1,2,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0
88,0,0,6,0,1,0,28,7,6,10,2,9,6,1,2,3,0,3,1,0,0,0,0,0,0,0,0,1,4,0,0
89,0,0,2,0,1,30,0,21,9,25,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1
90,0,0,2,0,1,15,21,15,11,11,2,4,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
91,0,1,0,1,1,18,19,15,11,13,8,8,3,1,0,2,0,4,3,0,0,0,0,0,0,2,0,1,4,0,0
92,1,1,3,0,1,13,5,4,11,0,1,6,2,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,4,0,0
93,3,0,4,0,1,3,3,6,1,21,2,3,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
94,4,1,2,0,1,1,0,6,3,1,2,9,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0
95,4,1,2,0,1,2,21,23,2,7,4,1,1,2,2,3,0,4,1,3,0,0,0,0,0,2,0,1,4,0,0
96,0,0,5,1,1,24,6,21,23,13,2,3,2,2,0,1,0,3,1,3,0,0,0,0,0,2,0,1,5,0,0
97,4,0,2,0,1,2,18,12,9,16,3,6,0,2,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
98,0,1,1,1,1,17,19,3,9,6,0,7,2,2,0,1,0,4,2,3,0,0,0,0,0,2,0,1,0,0,0
99,1,0,5,0,1,1,29,15,8,5,4,2,1,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,6,0,0
100,1,1,2,3,1,8,7,28,16,22,0,7,1,3,3,4,0,5,0,1,0,3,0,2,2,1,0,3,2,0,0
101,4,0,4,4,1,27,15,11,23,6,2,6,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0
102,4,1,3,0,1,27,22,1,25,0,1,7,1,2,3,4,0,4,2,6,1,4,2,3,1,1,0,2,4,0,0
103,4,0,0,1,1,21,18,12,4,8,3,8,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
104,1,0,6,1,1,11,9,13,14,3,1,4,0,1,0,1,0,5,1,2,0,4,0,0,0,0,0,2,3,0,0
105,0,1,0,0,1,29,15,25,6,27,2,3,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
106,1,0,6,0,1,22,5,25,11,22,2,6,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
107,0,0,4,0,1,24,8,16,6,3,4,1,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0
108,1,0,5,0,1,2,30,9,20,13,6,7,0,1,0,2,0,2,1,6,0,0,0,0,0,0,0,0,4,0,0
109,4,0,6,0,1,10,15,7,0,10,1,4,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0
110,4,1,2,0,4,3,21,9,4,1,3,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
111,1,1,2,0,1,0,6,2,9,20,3,2,1,2,0,1,0,2,3,0,0,0,0,0,0,2,0,1,2,0,0
112,1,0,5,0,1,17,21,20,24,11,0,1,6,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0
113,4,0,0,0,1,21,18,21,20,13,3,1,2,1,0,3,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0
114,0,1,6,0,1,31,1,1,6,14,6,7,2,2,2,0,0,5,2,3,0,4,2,1,0,1,0,2,3,0,0
115,1,0,0,1,1,28,0,2,11,7,2,9,0,2,1,1,0,3,0,2,0,4,0,0,0,2,0,2,3,0,0
116,0,1,0,1,1,6,0,9,27,22,4,1,2,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,3,0,0
117,1,0,5,0,1,19,2,1,20,16,4,2,0,2,2,2,0,4,0,1,0,3,2,1,2,1,0,3,1,0,0
118,0,0,6,2,1,32,28,14,14,23,0,3,0,1,0,6,0,4,1,0,0,0,0,0,0,2,2,0,3,0,0
119,0,0,5,0,1,16,18,6,11,18,0,6,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,0,2,0,1,8,18,6,10,13,3,10,1,2,0,1,0,4,1,0,0,0,0,0,0,2,0,1,0,0,0
121,0,0,0,0,1,33,12,5,21,11,4,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
122,5,1,2,0,1,28,9,13,4,17,0,5,1,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0
123,1,0,5,0,1,28,25,4,15,8,5,4,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,5,0,1
124,4,1,4,0,1,16,1,21,17,3,0,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
125,5,1,5,0,1,2,22,10,20,7,4,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,4,1,5,0,1,17,18,8,12,0,0,6,0,2,2,1,1,4,0,0,0,0,0,0,0,0,0,1,2,0,0
127,4,0,8,0,1,16,3,2,11,6,2,9,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
128,0,1,1,0,4,21,18,9,20,23,0,0,5,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0
129,4,0,2,0,1,10,23,8,8,21,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
130,4,0,4,0,1,30,21,7,17,28,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
131,4,0,4,0,2,13,13,16,28,3,2,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
132,0,0,3,5,1,7,0,0,23,23,2,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
133,0,1,2,0,1,20,9,21,23,8,4,2,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0
134,1,0,2,0,0,34,11,12,3,20,2,2,1,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,1
135,0,0,4,0,1,35,26,0,22,5,4,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
136,4,0,5,0,1,3,5,11,22,5,5,4,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0
137,4,0,5,0,1,17,26,21,1,21,7,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
138,5,1,5,0,1,2,3,9,11,6,2,0,1,1,0,4,0,4,1,0,0,0,0,0,0,0,5,0,3,0,0
139,4,1,4,0,1,20,21,0,8,25,0,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0
140,1,0,5,0,4,36,21,1,8,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
141,0,0,4,0,1,10,18,8,18,3,2,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
142,0,1,8,0,1,2,5,16,11,1,4,2,1,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,5,0,0
143,0,1,0,0,5,35,22,0,18,27,1,5,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
144,4,1,0,1,1,24,6,4,24,0,0,8,1,1,0,1,0,2,0,0,0,0,0,0,0,2,0,1,4,0,1
145,4,0,5,0,1,2,9,8,29,13,5,2,2,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0
146,5,1,0,0,1,28,12,13,12,25,3,0,1,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0
147,0,1,2,0,5,27,15,19,20,6,0,5,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
148,0,0,0,0,1,20,6,22,0,23,2,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
149,4,0,5,0,1,10,1,19,5,5,0,0,2,1,0,1,3,3,1,0,0,0,0,0,0,0,0,0,4,0,0
150,0,0,6,0,1,7,22,9,3,7,3,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
151,0,0,5,0,1,14,4,25,17,17,1,6,0,1,0,1,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0
152,1,0,5,0,1,2,11,19,9,20,7,3,0,1,2,0,0,3,2,3,0,2,0,0,2,0,0,1,6,0,0
153,1,1,5,0,1,1,23,11,1,13,0,5,1,1,2,1,2,4,1,0,0,0,0,0,0,0,0,0,4,0,0
154,2,0,6,0,1,37,27,15,12,3,0,8,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
155,0,0,5,0,5,6,27,16,11,25,1,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
156,0,0,6,0,1,38,8,12,14,8,3,5,0,0,2,3,0,3,1,2,0,0,0,0,0,0,0,0,6,0,0
157,1,1,4,0,1,8,24,25,12,13,0,8,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
158,0,0,5,4,1,7,9,12,4,21,8,7,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
159,4,0,6,0,5,2,0,0,20,23,0,0,2,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
160,4,1,2,3,1,22,2,10,23,23,0,2,0,2,2,3,0,5,1,3,0,4,0,0,0,2,0,1,5,0,0
161,0,1,5,0,5,1,21,2,22,22,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
162,1,0,5,6,1,28,8,13,13,6,2,1,6,1,0,1,1,3,1,0,0,4,0,0,2,0,0,0,4,0,0
163,1,0,6,0,1,32,8,12,8,8,0,6,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
164,1,0,1,0,1,24,21,5,26,7,2,5,6,2,0,1,3,4,1,0,0,0,0,0,0,0,0,0,4,0,0
165,4,1,2,0,1,7,5,12,12,5,2,6,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0
166,2,1,6,0,1,33,12,15,30,24,8,4,0,1,0,1,1,1,0,1,3,0,0,0,2,0,0,3,3,0,2
167,1,0,0,0,5,21,8,6,12,6,4,5,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
168,1,0,5,0,1,28,22,16,4,16,4,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0
169,2,0,3,0,1,16,8,7,3,1,1,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170,4,1,4,0,1,15,5,12,20,1,8,2,3,2,2,2,0,3,0,2,0,0,0,0,0,0,1,0,4,0,0
171,0,1,2,0,1,16,23,29,1,11,5,10,1,1,2,1,0,4,1,0,0,0,0,0,0,0,0,1,4,0,0
172,4,0,0,0,1,14,0,4,12,13,3,0,0,1,0,1,0,3,1,0,0,0,0,0,0,2,0,1,6,0,0
173,0,0,5,0,1,22,18,17,20,23,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
174,0,0,0,0,1,22,0,30,1,15,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
175,5,0,5,0,1,6,8,10,18,8,3,4,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,5,0,0
176,0,0,5,0,2,3,0,2,24,10,2,0,6,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0
177,0,0,5,0,1,33,8,16,0,7,1,5,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
178,4,0,5,0,1,23,16,4,1,1,3,1,0,2,0,1,0,4,1,0,0,0,0,0,0,0,0,1,3,0,0
179,0,0,0,0,1,18,13,6,14,20,2,0,0,2,0,1,0,3,2,3,0,2,0,0,0,2,0,1,3,0,0
180,4,0,0,0,1,0,18,5,11,6,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1,1,1,0,1,5,19,12,3,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
182,0,0,6,0,1,0,2,12,18,13,2,0,0,1,0,1,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0
183,2,0,5,0,1,36,19,21,6,6,1,2,1,3,0,1,0,0,0,4,0,3,0,2,3,0,0,0,3,0,3
184,5,1,3,0,1,21,3,6,3,23,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
185,0,0,5,1,1,0,18,3,1,1,0,5,0,1,0,1,0,2,0,3,0,0,0,0,0,2,0,1,2,0,0
186,0,0,2,0,1,1,10,9,11,9,2,3,1,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0
187,5,0,4,0,1,10,3,24,14,3,2,3,2,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,4,0,0
188,4,0,4,0,1,18,27,27,3,25,2,9,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0
189,2,0,2,0,1,16,8,4,20,13,1,6,0,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,5,0,0
190,5,0,0,0,1,26,8,2,3,25,1,3,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
191,2,1,5,0,0,16,22,8,3,10,4,4,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1,0,0,1,1,10,5,13,11,10,8,4,0,2,0,3,0,6,2,3,1,2,0,0,0,2,0,1,3,0,0
193,4,0,5,0,1,0,6,4,20,8,2,4,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0
194,1,0,5,1,0,11,22,3,15,21,1,0,6,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0
195,5,0,5,0,1,6,21,15,4,6,4,4,0,2,0,3,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0
196,2,1,5,0,5,27,21,0,18,17,3,0,2,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0
197,5,0,5,0,1,16,15,19,0,10,1,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
198,1,0,0,0,1,20,15,28,1,0,6,7,1,4,4,0,1,5,1,5,0,3,2,2,3,3,0,3,3,0,1
199,4,0,0,0,1,2,31,15,22,4,4,4,2,5,2,3,0,1,0,1,0,5,0,1,2,4,0,3,3,0,0
200,2,0,5,0,1,27,9,2,14,18,4,7,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
201,0,1,2,0,2,3,16,0,25,4,1,6,0,3,3,0,0,3,1,6,2,1,0,1,2,1,0,2,1,0,0
202,0,0,5,0,1,1,22,4,8,7,3,6,1,1,0,2,0,4,5,0,0,0,0,0,0,0,0,0,4,0,0
203,3,1,7,0,1,13,6,14,0,20,2,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
204,1,0,5,0,1,3,23,17,15,23,0,2,0,0,1,0,0,3,0,2,0,4,0,1,0,1,0,2,1,0,4
205,0,0,4,0,1,3,24,21,0,2,6,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
206,2,0,5,0,1,20,22,28,20,21,8,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
207,0,0,0,0,1,1,15,0,3,1,0,2,0,2,5,3,0,5,4,2,0,2,0,3,3,2,0,1,3,0,1
208,0,0,5,0,1,24,8,13,4,0,4,7,2,2,2,1,0,5,0,6,0,3,0,2,3,1,0,3,3,0,0
209,1,1,2,0,4,26,15,23,12,7,2,6,5,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
210,1,0,6,0,1,4,9,7,15,29,6,8,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
211,4,0,4,0,1,1,0,8,14,6,2,9,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
212,1,0,0,0,1,24,18,2,22,3,0,0,1,2,2,1,0,4,0,0,0,2,0,0,0,2,0,1,3,0,0
213,4,0,0,5,1,14,13,16,8,8,2,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
